Upper Tier Local Authorities Code,Upper Tier Local Authorities,Type of central heating in household (13 categories) Code,Type of central heating in household (13 categories),Observation
E10000006,Cumbria,6,Wood only,1432
E10000006,Cumbria,7,Solid fuel only,1722
E10000006,Cumbria,8,Renewable energy only,1485
E10000006,Cumbria,9,District or communal heat networks only,377
E10000006,Cumbria,10,Other central heating only,1267
E10000006,Cumbria,11,Two or more types of central heating (not including renewable energy),25462
E10000006,Cumbria,12,Two or more types of central heating (including renewable energy),1524
E10000007,Derbyshire,-9,Does not apply,0
E10000007,Derbyshire,1,No central heating,3407
E10000007,Derbyshire,2,Mains gas only,285170
E10000007,Derbyshire,3,Tank or bottled gas only,2940
E10000007,Derbyshire,4,Electric only,14360
E10000007,Derbyshire,5,Oil only,7785
E10000007,Derbyshire,6,Wood only,625
E10000007,Derbyshire,7,Solid fuel only,2435
E10000007,Derbyshire,8,Renewable energy only,1164
E10000007,Derbyshire,9,District or communal heat networks only,815
E10000007,Derbyshire,10,Other central heating only,1781
E10000007,Derbyshire,11,Two or more types of central heating (not including renewable energy),31947
E10000007,Derbyshire,12,Two or more types of central heating (including renewable energy),1784
E10000008,Devon,-9,Does not apply,0
E10000008,Devon,1,No central heating,8048
E10000008,Devon,2,Mains gas only,213180
E10000008,Devon,3,Tank or bottled gas only,8086
E10000008,Devon,4,Electric only,35295
E10000008,Devon,5,Oil only,35677
E10000008,Devon,6,Wood only,2338
E10000008,Devon,7,Solid fuel only,895
E10000008,Devon,8,Renewable energy only,3986
E10000008,Devon,9,District or communal heat networks only,3159
E10000008,Devon,10,Other central heating only,1430
E10000008,Devon,11,Two or more types of central heating (not including renewable energy),36313
E10000008,Devon,12,Two or more types of central heating (including renewable energy),4213
E10000011,East Sussex,-9,Does not apply,0
E10000011,East Sussex,1,No central heating,3592
E10000011,East Sussex,2,Mains gas only,170924
E10000011,East Sussex,3,Tank or bottled gas only,2754
E10000011,East Sussex,4,Electric only,22831
E10000011,East Sussex,5,Oil only,12960
E10000011,East Sussex,6,Wood only,496
E10000011,East Sussex,7,Solid fuel only,181
E10000011,East Sussex,8,Renewable energy only,1270
E10000011,East Sussex,9,District or communal heat networks only,1227
E10000011,East Sussex,10,Other central heating only,1236
E10000011,East Sussex,11,Two or more types of central heating (not including renewable energy),20912
E10000011,East Sussex,12,Two or more types of central heating (including renewable energy),1736
E10000012,Essex,-9,Does not apply,0
E10000012,Essex,1,No central heating,7018
E10000012,Essex,2,Mains gas only,456872
E10000012,Essex,3,Tank or bottled gas only,7156
E10000012,Essex,4,Electric only,57192
E10000012,Essex,5,Oil only,33644
E10000012,Essex,6,Wood only,605
E10000012,Essex,7,Solid fuel only,507
E10000012,Essex,8,Renewable energy only,2559
E10000012,Essex,9,District or communal heat networks only,2961
E10000012,Essex,10,Other central heating only,3832
E10000012,Essex,11,Two or more types of central heating (not including renewable energy),50214
E10000012,Essex,12,Two or more types of central heating (including renewable energy),3911
E10000013,Gloucestershire,-9,Does not apply,0
E10000013,Gloucestershire,1,No central heating,3461
E10000013,Gloucestershire,2,Mains gas only,194678
E10000013,Gloucestershire,3,Tank or bottled gas only,4558
E10000013,Gloucestershire,4,Electric only,23267
E10000013,Gloucestershire,5,Oil only,19074
E10000013,Gloucestershire,6,Wood only,764
E10000013,Gloucestershire,7,Solid fuel only,794
E10000013,Gloucestershire,8,Renewable energy only,1880
E10000013,Gloucestershire,9,District or communal heat networks only,750
E10000013,Gloucestershire,10,Other central heating only,1419
E10000013,Gloucestershire,11,Two or more types of central heating (not including renewable energy),26679
E10000013,Gloucestershire,12,Two or more types of central heating (including renewable energy),2105
E10000014,Hampshire,-9,Does not apply,0
E10000014,Hampshire,1,No central heating,6412
E10000014,Hampshire,2,Mains gas only,443217
E10000014,Hampshire,3,Tank or bottled gas only,6861
E10000014,Hampshire,4,Electric only,45728
E10000014,Hampshire,5,Oil only,22269
E10000014,Hampshire,6,Wood only,774
E10000014,Hampshire,7,Solid fuel only,449
E10000014,Hampshire,8,Renewable energy only,2591
E10000014,Hampshire,9,District or communal heat networks only,1818
E10000014,Hampshire,10,Other central heating only,2860
E10000014,Hampshire,11,Two or more types of central heating (not including renewable energy),49970
E10000014,Hampshire,12,Two or more types of central heating (including renewable energy),4743
E10000015,Hertfordshire,-9,Does not apply,0
E10000015,Hertfordshire,1,No central heating,5228
E10000015,Hertfordshire,2,Mains gas only,373344
E10000015,Hertfordshire,3,Tank or bottled gas only,3462
E10000015,Hertfordshire,4,Electric only,46106
E10000015,Hertfordshire,5,Oil only,7967
E10000015,Hertfordshire,6,Wood only,250
E10000015,Hertfordshire,7,Solid fuel only,237
E10000015,Hertfordshire,8,Renewable energy only,1216
E10000015,Hertfordshire,9,District or communal heat networks only,2633
E10000015,Hertfordshire,10,Other central heating only,3268
E10000015,Hertfordshire,11,Two or more types of central heating (not including renewable energy),36954
E10000015,Hertfordshire,12,Two or more types of central heating (including renewable energy),2225
E10000016,Kent,-9,Does not apply,0
E10000016,Kent,1,No central heating,8486
E10000016,Kent,2,Mains gas only,487974
E10000016,Kent,3,Tank or bottled gas only,8928
E10000016,Kent,4,Electric only,50583
E10000016,Kent,5,Oil only,23387
E10000016,Kent,6,Wood only,834
E10000016,Kent,7,Solid fuel only,651
E10000016,Kent,8,Renewable energy only,2146
E10000016,Kent,9,District or communal heat networks only,2170
E10000016,Kent,10,Other central heating only,4099
E10000016,Kent,11,Two or more types of central heating (not including renewable energy),55266
E10000016,Kent,12,Two or more types of central heating (including renewable energy),3869
E10000017,Lancashire,-9,Does not apply,0
E10000017,Lancashire,1,No central heating,7802
E10000017,Lancashire,2,Mains gas only,417489
E10000017,Lancashire,3,Tank or bottled gas only,5438
E10000017,Lancashire,4,Electric only,28655
E10000017,Lancashire,5,Oil only,9358
E10000017,Lancashire,6,Wood only,755
E10000017,Lancashire,7,Solid fuel only,920
E10000017,Lancashire,8,Renewable energy only,1270
E10000017,Lancashire,9,District or communal heat networks only,1607
E10000017,Lancashire,10,Other central heating only,3528
E10000017,Lancashire,11,Two or more types of central heating (not including renewable energy),45919
E10000017,Lancashire,12,Two or more types of central heating (including renewable energy),2504
E10000018,Leicestershire,-9,Does not apply,0
E10000018,Leicestershire,1,No central heating,2541
E10000018,Leicestershire,2,Mains gas only,237541
E10000018,Leicestershire,3,Tank or bottled gas only,2725
E10000018,Leicestershire,4,Electric only,14581
E10000018,Leicestershire,5,Oil only,8411
E10000018,Leicestershire,6,Wood only,381
E10000018,Leicestershire,7,Solid fuel only,842
E10000018,Leicestershire,8,Renewable energy only,1345
E10000018,Leicestershire,9,District or communal heat networks only,555
E10000018,Leicestershire,10,Other central heating only,1271
E10000018,Leicestershire,11,Two or more types of central heating (not including renewable energy),24615
E10000018,Leicestershire,12,Two or more types of central heating (including renewable energy),1600
E10000019,Lincolnshire,-9,Does not apply,0
E10000019,Lincolnshire,1,No central heating,3472
E10000019,Lincolnshire,2,Mains gas only,219079
E10000019,Lincolnshire,3,Tank or bottled gas only,7060
E10000019,Lincolnshire,4,Electric only,23554
E10000019,Lincolnshire,5,Oil only,39818
E10000019,Lincolnshire,6,Wood only,1045
E10000019,Lincolnshire,7,Solid fuel only,2393
E10000019,Lincolnshire,8,Renewable energy only,2943
E10000019,Lincolnshire,9,District or communal heat networks only,675
E10000019,Lincolnshire,10,Other central heating only,1767
E10000019,Lincolnshire,11,Two or more types of central heating (not including renewable energy),29377
E10000019,Lincolnshire,12,Two or more types of central heating (including renewable energy),2370
E10000020,Norfolk,-9,Does not apply,0
E10000020,Norfolk,1,No central heating,5197
E10000020,Norfolk,2,Mains gas only,229535
E10000020,Norfolk,3,Tank or bottled gas only,6327
E10000020,Norfolk,4,Electric only,39427
E10000020,Norfolk,5,Oil only,69985
E10000020,Norfolk,6,Wood only,1391
E10000020,Norfolk,7,Solid fuel only,1232
E10000020,Norfolk,8,Renewable energy only,5878
E10000020,Norfolk,9,District or communal heat networks only,2320
E10000020,Norfolk,10,Other central heating only,2222
E10000020,Norfolk,11,Two or more types of central heating (not including renewable energy),36993
E10000020,Norfolk,12,Two or more types of central heating (including renewable energy),3835
E10000023,North Yorkshire,-9,Does not apply,0
E10000023,North Yorkshire,1,No central heating,3469
E10000023,North Yorkshire,2,Mains gas only,174724
E10000023,North Yorkshire,3,Tank or bottled gas only,6485
E10000023,North Yorkshire,4,Electric only,17501
E10000023,North Yorkshire,5,Oil only,32595
E10000023,North Yorkshire,6,Wood only,1512
E10000023,North Yorkshire,7,Solid fuel only,2159
E10000023,North Yorkshire,8,Renewable energy only,3104
E10000023,North Yorkshire,9,District or communal heat networks only,566
E10000023,North Yorkshire,10,Other central heating only,1142
E10000023,North Yorkshire,11,Two or more types of central heating (not including renewable energy),28911
E10000023,North Yorkshire,12,Two or more types of central heating (including renewable energy),2213
E10000024,Nottinghamshire,-9,Does not apply,0
E10000024,Nottinghamshire,1,No central heating,2846
E10000024,Nottinghamshire,2,Mains gas only,286808
E10000024,Nottinghamshire,3,Tank or bottled gas only,2963
E10000024,Nottinghamshire,4,Electric only,16113
E10000024,Nottinghamshire,5,Oil only,10116
E10000024,Nottinghamshire,6,Wood only,442
E10000024,Nottinghamshire,7,Solid fuel only,2531
E10000024,Nottinghamshire,8,Renewable energy only,1454
E10000024,Nottinghamshire,9,District or communal heat networks only,873
E10000024,Nottinghamshire,10,Other central heating only,2139
E10000024,Nottinghamshire,11,Two or more types of central heating (not including renewable energy),29044
E10000024,Nottinghamshire,12,Two or more types of central heating (including renewable energy),1793
E10000025,Oxfordshire,-9,Does not apply,0
E10000025,Oxfordshire,1,No central heating,3114
E10000025,Oxfordshire,2,Mains gas only,202970
E10000025,Oxfordshire,3,Tank or bottled gas only,4095
E10000025,Oxfordshire,4,Electric only,27091
E10000025,Oxfordshire,5,Oil only,19100
E10000025,Oxfordshire,6,Wood only,419
E10000025,Oxfordshire,7,Solid fuel only,382
E10000025,Oxfordshire,8,Renewable energy only,2325
E10000025,Oxfordshire,9,District or communal heat networks only,898
E10000025,Oxfordshire,10,Other central heating only,1704
E10000025,Oxfordshire,11,Two or more types of central heating (not including renewable energy),23723
E10000025,Oxfordshire,12,Two or more types of central heating (including renewable energy),2287
E10000027,Somerset,-9,Does not apply,0
E10000027,Somerset,1,No central heating,4141
E10000027,Somerset,2,Mains gas only,152696
E10000027,Somerset,3,Tank or bottled gas only,4847
E10000027,Somerset,4,Electric only,25012
E10000027,Somerset,5,Oil only,29436
E10000027,Somerset,6,Wood only,1139
E10000027,Somerset,7,Solid fuel only,835
E10000027,Somerset,8,Renewable energy only,2544
E10000027,Somerset,9,District or communal heat networks only,463
E10000027,Somerset,10,Other central heating only,1189
E10000027,Somerset,11,Two or more types of central heating (not including renewable energy),25399
E10000027,Somerset,12,Two or more types of central heating (including renewable energy),2422
E10000028,Staffordshire,-9,Does not apply,0
E10000028,Staffordshire,1,No central heating,3886
E10000028,Staffordshire,2,Mains gas only,292923
E10000028,Staffordshire,3,Tank or bottled gas only,5470
E10000028,Staffordshire,4,Electric only,20136
E10000028,Staffordshire,5,Oil only,13257
E10000028,Staffordshire,6,Wood only,593
E10000028,Staffordshire,7,Solid fuel only,1298
E10000028,Staffordshire,8,Renewable energy only,1126
E10000028,Staffordshire,9,District or communal heat networks only,771
E10000028,Staffordshire,10,Other central heating only,1967
E10000028,Staffordshire,11,Two or more types of central heating (not including renewable energy),32158
E10000028,Staffordshire,12,Two or more types of central heating (including renewable energy),1638
E10000029,Suffolk,-9,Does not apply,0
E10000029,Suffolk,1,No central heating,4344
E10000029,Suffolk,2,Mains gas only,206582
E10000029,Suffolk,3,Tank or bottled gas only,4289
E10000029,Suffolk,4,Electric only,33818
E10000029,Suffolk,5,Oil only,44188
E10000029,Suffolk,6,Wood only,849
E10000029,Suffolk,7,Solid fuel only,529
E10000029,Suffolk,8,Renewable energy only,3735
E10000029,Suffolk,9,District or communal heat networks only,1140
E10000029,Suffolk,10,Other central heating only,1773
E10000029,Suffolk,11,Two or more types of central heating (not including renewable energy),29346
E10000029,Suffolk,12,Two or more types of central heating (including renewable energy),2950
E10000030,Surrey,-9,Does not apply,0
E10000030,Surrey,1,No central heating,4887
E10000030,Surrey,2,Mains gas only,376442
E10000030,Surrey,3,Tank or bottled gas only,4348
E10000030,Surrey,4,Electric only,40782
E10000030,Surrey,5,Oil only,6218
E10000030,Surrey,6,Wood only,249
E10000030,Surrey,7,Solid fuel only,118
E10000030,Surrey,8,Renewable energy only,1776
E10000030,Surrey,9,District or communal heat networks only,2554
E10000030,Surrey,10,Other central heating only,2794
E10000030,Surrey,11,Two or more types of central heating (not including renewable energy),37978
E10000030,Surrey,12,Two or more types of central heating (including renewable energy),3673
E10000031,Warwickshire,-9,Does not apply,0
E10000031,Warwickshire,1,No central heating,2655
E10000031,Warwickshire,2,Mains gas only,187210
E10000031,Warwickshire,3,Tank or bottled gas only,4161
E10000031,Warwickshire,4,Electric only,20821
E10000031,Warwickshire,5,Oil only,10633
E10000031,Warwickshire,6,Wood only,417
E10000031,Warwickshire,7,Solid fuel only,676
E10000031,Warwickshire,8,Renewable energy only,1434
E10000031,Warwickshire,9,District or communal heat networks only,1012
E10000031,Warwickshire,10,Other central heating only,1366
E10000031,Warwickshire,11,Two or more types of central heating (not including renewable energy),21357
E10000031,Warwickshire,12,Two or more types of central heating (including renewable energy),1518
E10000032,West Sussex,-9,Does not apply,0
E10000032,West Sussex,1,No central heating,4718
E10000032,West Sussex,2,Mains gas only,277301
E10000032,West Sussex,3,Tank or bottled gas only,4477
E10000032,West Sussex,4,Electric only,35590
E10000032,West Sussex,5,Oil only,13952
E10000032,West Sussex,6,Wood only,491
E10000032,West Sussex,7,Solid fuel only,217
E10000032,West Sussex,8,Renewable energy only,1589
E10000032,West Sussex,9,District or communal heat networks only,1951
E10000032,West Sussex,10,Other central heating only,2027
E10000032,West Sussex,11,Two or more types of central heating (not including renewable energy),30467
E10000032,West Sussex,12,Two or more types of central heating (including renewable energy),2436
E10000034,Worcestershire,-9,Does not apply,0
E10000034,Worcestershire,1,No central heating,3113
E10000034,Worcestershire,2,Mains gas only,190542
E10000034,Worcestershire,3,Tank or bottled gas only,6667
E10000034,Worcestershire,4,Electric only,17450
E10000034,Worcestershire,5,Oil only,12598
E10000034,Worcestershire,6,Wood only,490
E10000034,Worcestershire,7,Solid fuel only,452
E10000034,Worcestershire,8,Renewable energy only,1150
E10000034,Worcestershire,9,District or communal heat networks only,716
E10000034,Worcestershire,10,Other central heating only,1310
E10000034,Worcestershire,11,Two or more types of central heating (not including renewable energy),23921
E10000034,Worcestershire,12,Two or more types of central heating (including renewable energy),1525
W06000001,Isle of Anglesey,-9,Does not apply,0
W06000001,Isle of Anglesey,1,No central heating,718
W06000001,Isle of Anglesey,2,Mains gas only,13503
W06000001,Isle of Anglesey,3,Tank or bottled gas only,2687
W06000001,Isle of Anglesey,4,Electric only,2461
W06000001,Isle of Anglesey,5,Oil only,6651
W06000001,Isle of Anglesey,6,Wood only,146
W06000001,Isle of Anglesey,7,Solid fuel only,299
W06000001,Isle of Anglesey,8,Renewable energy only,301
W06000001,Isle of Anglesey,9,District or communal heat networks only,48
W06000001,Isle of Anglesey,10,Other central heating only,112
W06000001,Isle of Anglesey,11,Two or more types of central heating (not including renewable energy),3609
W06000001,Isle of Anglesey,12,Two or more types of central heating (including renewable energy),287
W06000002,Gwynedd,-9,Does not apply,0
W06000002,Gwynedd,1,No central heating,1648
W06000002,Gwynedd,2,Mains gas only,23666
W06000002,Gwynedd,3,Tank or bottled gas only,3292
W06000002,Gwynedd,4,Electric only,4441
W06000002,Gwynedd,5,Oil only,8615
W06000002,Gwynedd,6,Wood only,479
W06000002,Gwynedd,7,Solid fuel only,628
W06000002,Gwynedd,8,Renewable energy only,414
W06000002,Gwynedd,9,District or communal heat networks only,118
W06000002,Gwynedd,10,Other central heating only,222
W06000002,Gwynedd,11,Two or more types of central heating (not including renewable energy),7178
W06000002,Gwynedd,12,Two or more types of central heating (including renewable energy),404
W06000003,Conwy,-9,Does not apply,0
W06000003,Conwy,1,No central heating,830
W06000003,Conwy,2,Mains gas only,37601
W06000003,Conwy,3,Tank or bottled gas only,1514
W06000003,Conwy,4,Electric only,3096
W06000003,Conwy,5,Oil only,2875
W06000003,Conwy,6,Wood only,215
W06000003,Conwy,7,Solid fuel only,180
W06000003,Conwy,8,Renewable energy only,254
W06000003,Conwy,9,District or communal heat networks only,102
W06000003,Conwy,10,Other central heating only,173
W06000003,Conwy,11,Two or more types of central heating (not including renewable energy),5038
W06000003,Conwy,12,Two or more types of central heating (including renewable energy),356
W06000004,Denbighshire,-9,Does not apply,0
W06000004,Denbighshire,1,No central heating,546
W06000004,Denbighshire,2,Mains gas only,28451
W06000004,Denbighshire,3,Tank or bottled gas only,1079
W06000004,Denbighshire,4,Electric only,2348
W06000004,Denbighshire,5,Oil only,4156
W06000004,Denbighshire,6,Wood only,241
W06000004,Denbighshire,7,Solid fuel only,341
W06000004,Denbighshire,8,Renewable energy only,370
W06000004,Denbighshire,9,District or communal heat networks only,98
W06000004,Denbighshire,10,Other central heating only,206
W06000004,Denbighshire,11,Two or more types of central heating (not including renewable energy),4251
W06000004,Denbighshire,12,Two or more types of central heating (including renewable energy),300
W06000005,Flintshire,-9,Does not apply,0
W06000005,Flintshire,1,No central heating,556
W06000005,Flintshire,2,Mains gas only,49162
W06000005,Flintshire,3,Tank or bottled gas only,1555
W06000005,Flintshire,4,Electric only,2206
W06000005,Flintshire,5,Oil only,5858
W06000005,Flintshire,6,Wood only,156
W06000005,Flintshire,7,Solid fuel only,289
W06000005,Flintshire,8,Renewable energy only,423
W06000005,Flintshire,9,District or communal heat networks only,295
W06000005,Flintshire,10,Other central heating only,295
W06000005,Flintshire,11,Two or more types of central heating (not including renewable energy),5714
W06000005,Flintshire,12,Two or more types of central heating (including renewable energy),402
W06000006,Wrexham,-9,Does not apply,0
W06000006,Wrexham,1,No central heating,560
W06000006,Wrexham,2,Mains gas only,43121
W06000006,Wrexham,3,Tank or bottled gas only,807
W06000006,Wrexham,4,Electric only,2945
W06000006,Wrexham,5,Oil only,4012
W06000006,Wrexham,6,Wood only,143
W06000006,Wrexham,7,Solid fuel only,201
W06000006,Wrexham,8,Renewable energy only,191
W06000006,Wrexham,9,District or communal heat networks only,83
W06000006,Wrexham,10,Other central heating only,306
W06000006,Wrexham,11,Two or more types of central heating (not including renewable energy),5276
W06000006,Wrexham,12,Two or more types of central heating (including renewable energy),269
W06000008,Ceredigion,-9,Does not apply,0
W06000008,Ceredigion,1,No central heating,798
W06000008,Ceredigion,2,Mains gas only,7174
W06000008,Ceredigion,3,Tank or bottled gas only,1648
W06000008,Ceredigion,4,Electric only,3778
W06000008,Ceredigion,5,Oil only,10895
W06000008,Ceredigion,6,Wood only,430
W06000008,Ceredigion,7,Solid fuel only,402
W06000008,Ceredigion,8,Renewable energy only,807
W06000008,Ceredigion,9,District or communal heat networks only,50
W06000008,Ceredigion,10,Other central heating only,151
W06000008,Ceredigion,11,Two or more types of central heating (not including renewable energy),4288
W06000008,Ceredigion,12,Two or more types of central heating (including renewable energy),473
W06000009,Pembrokeshire,-9,Does not apply,0
W06000009,Pembrokeshire,1,No central heating,954
W06000009,Pembrokeshire,2,Mains gas only,28745
W06000009,Pembrokeshire,3,Tank or bottled gas only,2443
W06000009,Pembrokeshire,4,Electric only,2968
W06000009,Pembrokeshire,5,Oil only,12598
W06000009,Pembrokeshire,6,Wood only,381
W06000009,Pembrokeshire,7,Solid fuel only,328
W06000009,Pembrokeshire,8,Renewable energy only,483
W06000009,Pembrokeshire,9,District or communal heat networks only,103
W06000009,Pembrokeshire,10,Other central heating only,185
W06000009,Pembrokeshire,11,Two or more types of central heating (not including renewable energy),5681
W06000009,Pembrokeshire,12,Two or more types of central heating (including renewable energy),620
W06000010,Carmarthenshire,-9,Does not apply,0
W06000010,Carmarthenshire,1,No central heating,899
W06000010,Carmarthenshire,2,Mains gas only,44413
W06000010,Carmarthenshire,3,Tank or bottled gas only,2610
W06000010,Carmarthenshire,4,Electric only,3305
W06000010,Carmarthenshire,5,Oil only,19412
W06000010,Carmarthenshire,6,Wood only,642
W06000010,Carmarthenshire,7,Solid fuel only,1036
W06000010,Carmarthenshire,8,Renewable energy only,648
W06000010,Carmarthenshire,9,District or communal heat networks only,181
W06000010,Carmarthenshire,10,Other central heating only,246
W06000010,Carmarthenshire,11,Two or more types of central heating (not including renewable energy),7732
W06000010,Carmarthenshire,12,Two or more types of central heating (including renewable energy),637
W06000011,Swansea,-9,Does not apply,0
W06000011,Swansea,1,No central heating,974
W06000011,Swansea,2,Mains gas only,84262
W06000011,Swansea,3,Tank or bottled gas only,1066
W06000011,Swansea,4,Electric only,5872
W06000011,Swansea,5,Oil only,1959
W06000011,Swansea,6,Wood only,97
W06000011,Swansea,7,Solid fuel only,331
W06000011,Swansea,8,Renewable energy only,255
W06000011,Swansea,9,District or communal heat networks only,576
W06000011,Swansea,10,Other central heating only,720
W06000011,Swansea,11,Two or more types of central heating (not including renewable energy),8440
W06000011,Swansea,12,Two or more types of central heating (including renewable energy),407
W06000012,Neath Port Talbot,-9,Does not apply,0
W06000012,Neath Port Talbot,1,No central heating,435
W06000012,Neath Port Talbot,2,Mains gas only,51530
W06000012,Neath Port Talbot,3,Tank or bottled gas only,407
W06000012,Neath Port Talbot,4,Electric only,1977
W06000012,Neath Port Talbot,5,Oil only,1934
W06000012,Neath Port Talbot,6,Wood only,65
W06000012,Neath Port Talbot,7,Solid fuel only,560
W06000012,Neath Port Talbot,8,Renewable energy only,87
W06000012,Neath Port Talbot,9,District or communal heat networks only,111
W06000012,Neath Port Talbot,10,Other central heating only,345
W06000012,Neath Port Talbot,11,Two or more types of central heating (not including renewable energy),4735
W06000012,Neath Port Talbot,12,Two or more types of central heating (including renewable energy),191
W06000013,Bridgend,-9,Does not apply,0
W06000013,Bridgend,1,No central heating,302
W06000013,Bridgend,2,Mains gas only,53087
W06000013,Bridgend,3,Tank or bottled gas only,510
W06000013,Bridgend,4,Electric only,1698
W06000013,Bridgend,5,Oil only,600
W06000013,Bridgend,6,Wood only,52
W06000013,Bridgend,7,Solid fuel only,211
W06000013,Bridgend,8,Renewable energy only,106
W06000013,Bridgend,9,District or communal heat networks only,123
W06000013,Bridgend,10,Other central heating only,385
W06000013,Bridgend,11,Two or more types of central heating (not including renewable energy),4994
W06000013,Bridgend,12,Two or more types of central heating (including renewable energy),293
W06000014,Vale of Glamorgan,-9,Does not apply,0
W06000014,Vale of Glamorgan,1,No central heating,465
W06000014,Vale of Glamorgan,2,Mains gas only,45883
W06000014,Vale of Glamorgan,3,Tank or bottled gas only,972
W06000014,Vale of Glamorgan,4,Electric only,2655
W06000014,Vale of Glamorgan,5,Oil only,1874
W06000014,Vale of Glamorgan,6,Wood only,79
W06000014,Vale of Glamorgan,7,Solid fuel only,83
W06000014,Vale of Glamorgan,8,Renewable energy only,137
W06000014,Vale of Glamorgan,9,District or communal heat networks only,108
W06000014,Vale of Glamorgan,10,Other central heating only,286
W06000014,Vale of Glamorgan,11,Two or more types of central heating (not including renewable energy),4637
W06000014,Vale of Glamorgan,12,Two or more types of central heating (including renewable energy),270
W06000015,Cardiff,-9,Does not apply,0
W06000015,Cardiff,1,No central heating,2067
W06000015,Cardiff,2,Mains gas only,115558
W06000015,Cardiff,3,Tank or bottled gas only,829
W06000015,Cardiff,4,Electric only,15376
W06000015,Cardiff,5,Oil only,209
W06000015,Cardiff,6,Wood only,31
W06000015,Cardiff,7,Solid fuel only,45
W06000015,Cardiff,8,Renewable energy only,123
W06000015,Cardiff,9,District or communal heat networks only,456
W06000015,Cardiff,10,Other central heating only,1188
W06000015,Cardiff,11,Two or more types of central heating (not including renewable energy),11059
W06000015,Cardiff,12,Two or more types of central heating (including renewable energy),392
W06000016,Rhondda Cynon Taf,-9,Does not apply,0
W06000016,Rhondda Cynon Taf,1,No central heating,776
W06000016,Rhondda Cynon Taf,2,Mains gas only,88632
W06000016,Rhondda Cynon Taf,3,Tank or bottled gas only,555
W06000016,Rhondda Cynon Taf,4,Electric only,2544
W06000016,Rhondda Cynon Taf,5,Oil only,515
W06000016,Rhondda Cynon Taf,6,Wood only,101
W06000016,Rhondda Cynon Taf,7,Solid fuel only,692
W06000016,Rhondda Cynon Taf,8,Renewable energy only,157
W06000016,Rhondda Cynon Taf,9,District or communal heat networks only,240
W06000016,Rhondda Cynon Taf,10,Other central heating only,720
W06000016,Rhondda Cynon Taf,11,Two or more types of central heating (not including renewable energy),7996
W06000016,Rhondda Cynon Taf,12,Two or more types of central heating (including renewable energy),412
W06000018,Caerphilly,-9,Does not apply,0
W06000018,Caerphilly,1,No central heating,395
W06000018,Caerphilly,2,Mains gas only,64920
W06000018,Caerphilly,3,Tank or bottled gas only,597
W06000018,Caerphilly,4,Electric only,1623
W06000018,Caerphilly,5,Oil only,506
W06000018,Caerphilly,6,Wood only,80
W06000018,Caerphilly,7,Solid fuel only,522
W06000018,Caerphilly,8,Renewable energy only,102
W06000018,Caerphilly,9,District or communal heat networks only,170
W06000018,Caerphilly,10,Other central heating only,528
W06000018,Caerphilly,11,Two or more types of central heating (not including renewable energy),6537
W06000018,Caerphilly,12,Two or more types of central heating (including renewable energy),277
W06000019,Blaenau Gwent,-9,Does not apply,0
W06000019,Blaenau Gwent,1,No central heating,173
W06000019,Blaenau Gwent,2,Mains gas only,25733
W06000019,Blaenau Gwent,3,Tank or bottled gas only,163
W06000019,Blaenau Gwent,4,Electric only,684
W06000019,Blaenau Gwent,5,Oil only,107
W06000019,Blaenau Gwent,6,Wood only,30
W06000019,Blaenau Gwent,7,Solid fuel only,188
W06000019,Blaenau Gwent,8,Renewable energy only,35
W06000019,Blaenau Gwent,9,District or communal heat networks only,120
W06000019,Blaenau Gwent,10,Other central heating only,236
W06000019,Blaenau Gwent,11,Two or more types of central heating (not including renewable energy),2767
W06000019,Blaenau Gwent,12,Two or more types of central heating (including renewable energy),102
W06000020,Torfaen,-9,Does not apply,0
W06000020,Torfaen,1,No central heating,214
W06000020,Torfaen,2,Mains gas only,33850
W06000020,Torfaen,3,Tank or bottled gas only,221
W06000020,Torfaen,4,Electric only,976
W06000020,Torfaen,5,Oil only,212
W06000020,Torfaen,6,Wood only,50
W06000020,Torfaen,7,Solid fuel only,114
W06000020,Torfaen,8,Renewable energy only,41
W06000020,Torfaen,9,District or communal heat networks only,254
W06000020,Torfaen,10,Other central heating only,283
W06000020,Torfaen,11,Two or more types of central heating (not including renewable energy),3846
W06000020,Torfaen,12,Two or more types of central heating (including renewable energy),181
W06000021,Monmouthshire,-9,Does not apply,0
W06000021,Monmouthshire,1,No central heating,351
W06000021,Monmouthshire,2,Mains gas only,26986
W06000021,Monmouthshire,3,Tank or bottled gas only,1190
W06000021,Monmouthshire,4,Electric only,1761
W06000021,Monmouthshire,5,Oil only,5021
W06000021,Monmouthshire,6,Wood only,243
W06000021,Monmouthshire,7,Solid fuel only,200
W06000021,Monmouthshire,8,Renewable energy only,335
W06000021,Monmouthshire,9,District or communal heat networks only,111
W06000021,Monmouthshire,10,Other central heating only,149
W06000021,Monmouthshire,11,Two or more types of central heating (not including renewable energy),4154
W06000021,Monmouthshire,12,Two or more types of central heating (including renewable energy),422
W06000022,Newport,-9,Does not apply,0
W06000022,Newport,1,No central heating,554
W06000022,Newport,2,Mains gas only,53239
W06000022,Newport,3,Tank or bottled gas only,633
W06000022,Newport,4,Electric only,3696
W06000022,Newport,5,Oil only,602
W06000022,Newport,6,Wood only,72
W06000022,Newport,7,Solid fuel only,77
W06000022,Newport,8,Renewable energy only,87
W06000022,Newport,9,District or communal heat networks only,814
W06000022,Newport,10,Other central heating only,621
