Upper Tier Local Authorities Code,Upper Tier Local Authorities,Type of central heating in household (13 categories) Code,Type of central heating in household (13 categories),Observation
E06000039,Slough,11,Two or more types of central heating (not including renewable energy),3767
E06000039,Slough,12,Two or more types of central heating (including renewable energy),182
E06000040,Windsor and Maidenhead,-9,Does not apply,0
E06000040,Windsor and Maidenhead,1,No central heating,694
E06000040,Windsor and Maidenhead,2,Mains gas only,47041
E06000040,Windsor and Maidenhead,3,Tank or bottled gas only,640
E06000040,Windsor and Maidenhead,4,Electric only,5447
E06000040,Windsor and Maidenhead,5,Oil only,1292
E06000040,Windsor and Maidenhead,6,Wood only,36
E06000040,Windsor and Maidenhead,7,Solid fuel only,22
E06000040,Windsor and Maidenhead,8,Renewable energy only,190
E06000040,Windsor and Maidenhead,9,District or communal heat networks only,307
E06000040,Windsor and Maidenhead,10,Other central heating only,395
E06000040,Windsor and Maidenhead,11,Two or more types of central heating (not including renewable energy),4547
E06000040,Windsor and Maidenhead,12,Two or more types of central heating (including renewable energy),318
E06000041,Wokingham,-9,Does not apply,0
E06000041,Wokingham,1,No central heating,489
E06000041,Wokingham,2,Mains gas only,56857
E06000041,Wokingham,3,Tank or bottled gas only,633
E06000041,Wokingham,4,Electric only,4350
E06000041,Wokingham,5,Oil only,766
E06000041,Wokingham,6,Wood only,32
E06000041,Wokingham,7,Solid fuel only,16
E06000041,Wokingham,8,Renewable energy only,181
E06000041,Wokingham,9,District or communal heat networks only,146
E06000041,Wokingham,10,Other central heating only,297
E06000041,Wokingham,11,Two or more types of central heating (not including renewable energy),4958
E06000041,Wokingham,12,Two or more types of central heating (including renewable energy),441
E06000042,Milton Keynes,-9,Does not apply,0
E06000042,Milton Keynes,1,No central heating,1300
E06000042,Milton Keynes,2,Mains gas only,87612
E06000042,Milton Keynes,3,Tank or bottled gas only,888
E06000042,Milton Keynes,4,Electric only,9417
E06000042,Milton Keynes,5,Oil only,1031
E06000042,Milton Keynes,6,Wood only,33
E06000042,Milton Keynes,7,Solid fuel only,50
E06000042,Milton Keynes,8,Renewable energy only,207
E06000042,Milton Keynes,9,District or communal heat networks only,996
E06000042,Milton Keynes,10,Other central heating only,1057
E06000042,Milton Keynes,11,Two or more types of central heating (not including renewable energy),9629
E06000042,Milton Keynes,12,Two or more types of central heating (including renewable energy),880
E06000043,Brighton and Hove,-9,Does not apply,0
E06000043,Brighton and Hove,1,No central heating,2844
E06000043,Brighton and Hove,2,Mains gas only,91393
E06000043,Brighton and Hove,3,Tank or bottled gas only,358
E06000043,Brighton and Hove,4,Electric only,14451
E06000043,Brighton and Hove,5,Oil only,200
E06000043,Brighton and Hove,6,Wood only,27
E06000043,Brighton and Hove,7,Solid fuel only,20
E06000043,Brighton and Hove,8,Renewable energy only,212
E06000043,Brighton and Hove,9,District or communal heat networks only,1902
E06000043,Brighton and Hove,10,Other central heating only,907
E06000043,Brighton and Hove,11,Two or more types of central heating (not including renewable energy),8567
E06000043,Brighton and Hove,12,Two or more types of central heating (including renewable energy),521
E06000044,Portsmouth,-9,Does not apply,0
E06000044,Portsmouth,1,No central heating,2091
E06000044,Portsmouth,2,Mains gas only,65275
E06000044,Portsmouth,3,Tank or bottled gas only,255
E06000044,Portsmouth,4,Electric only,9892
E06000044,Portsmouth,5,Oil only,32
E06000044,Portsmouth,6,Wood only,15
E06000044,Portsmouth,7,Solid fuel only,17
E06000044,Portsmouth,8,Renewable energy only,111
E06000044,Portsmouth,9,District or communal heat networks only,745
E06000044,Portsmouth,10,Other central heating only,848
E06000044,Portsmouth,11,Two or more types of central heating (not including renewable energy),6684
