RegName,energy_cost,weight
Orkney Islands,11039.850068181819,42.41
Aberdeenshire,4844.5725999999995,465.63
East Ayrshire,2462.7419318181815,205.64
East Renfrewshire,1009.3690999999999,251.28
Stirling,3062.910409090909,200.12
Highland,3552.2735999999995,392.71
Scottish Borders,8341.622,295.24
Glasgow City,2462.7419318181815,503.44
Clackmannanshire,2462.7419318181815,106.73
North Ayrshire,8598.579399999999,273.15
South Ayrshire,4524.6939999999995,208.07
Highland,3074.1031999999996,392.71
Glasgow City,6571.218818181818,375.68
Aberdeenshire,10720.985590909091,451.07
Highland,4642.315159090909,425.67
Perth and Kinross,3385.6784,247.01
Highland,3650.8599999999997,343.61
Shetland Islands,6446.8163863636355,35.94
Angus,4541.46665,224.84
Orkney Islands,4545.6502,42.53
South Lanarkshire,3443.4338499999994,392.24
Scottish Borders,3816.4008,315.53
Argyll and Bute,5237.3366,155.16
Glasgow City,3974.4845454545457,398.5
Shetland Islands,5469.444818181819,39.8
Aberdeenshire,3103.401136363636,455.67
Shetland Islands,5179.350068181819,38.55
North Ayrshire,2462.7419318181815,261.69
Orkney Islands,6732.648954545454,49.45
Dumfries and Galloway,6607.447363636363,259.74
Angus,7276.58465,245.28
Na h-Eileanan Siar,14881.674204545452,47.89
Shetland Islands,2720.11052,38.31
Glasgow City,2488.0486363636364,375.68
Dumfries and Galloway,4649.773977272727,243.2
Angus,8341.622,263.94
Orkney Islands,9886.130727272726,43.9
Highland,7216.05,326.3
Argyll and Bute,5101.298863636363,180.9
Dumfries and Galloway,4667.960599999999,247.58
Shetland Islands,8166.272879999999,38.31
Angus,15224.513454545453,237.46
Argyll and Bute,7341.391799999999,163.4
Argyll and Bute,5112.2584,164.0
Orkney Islands,3421.2000681818176,60.04
Orkney Islands,7192.165431818182,41.38
Moray,4340.7011999999995,255.83
Angus,2845.8055227272725,285.87
Perth and Kinross,3475.02708,285.26
Na h-Eileanan Siar,5268.3096,46.4
East Renfrewshire,2736.3207272727273,230.34
Glasgow City,1009.3690999999999,375.68
Aberdeen City,2462.7419318181815,505.14
Aberdeenshire,8341.622,454.17
Shetland Islands,6910.002200000001,40.91
Highland,8341.622,428.59
"Edinburgh, City of",3750.72,385.64
Scottish Borders,4171.9972,302.69
West Dunbartonshire,4253.1334,175.48
Shetland Islands,2644.12124,41.95
Orkney Islands,7418.59384090909,40.09
Moray,3221.4102954545456,268.66
Stirling,5243.7948,165.48
Falkirk,8777.697068181818,295.05
Falkirk,5110.888772727272,370.82
South Lanarkshire,3882.5643999999993,402.87
Stirling,7543.758476470588,165.48
Orkney Islands,8070.441272727272,47.24
Shetland Islands,8221.552199999998,38.82
Scottish Borders,5568.9454,275.17
West Dunbartonshire,2626.5695454545453,191.64
Na h-Eileanan Siar,7526.930149999999,46.4
Orkney Islands,7885.036363636363,47.24
Inverclyde,1151.4647499999999,216.53
Na h-Eileanan Siar,5385.611599999999,47.89
Highland,7543.758476470588,428.59
Stirling,2728.861909090909,175.33
Midlothian,3209.77805,147.53
South Lanarkshire,5127.671113636364,420.42
Shetland Islands,3091.6801363636364,39.87
Aberdeenshire,6351.442,443.57
Dundee City,2636.692227272727,277.46
Dumfries and Galloway,2571.6939545454543,233.0
Highland,8334.696545454546,363.75
Na h-Eileanan Siar,4955.2846,46.4
Glasgow City,2462.7419318181815,474.61
Dumfries and Galloway,2462.7419318181815,291.07
Na h-Eileanan Siar,5030.44009090909,43.9
Moray,1011.3343399999999,229.75
Orkney Islands,8341.622,42.53
Fife,2966.9498,427.96
Orkney Islands,10279.849772727272,43.46
"Edinburgh, City of",2860.9895454545454,452.69
Fife,3556.2579545454546,430.04
Scottish Borders,5177.763,315.31
Argyll and Bute,4408.427931818182,154.59
Shetland Islands,6236.9078,38.82
Argyll and Bute,13041.74359090909,155.16
Dumfries and Galloway,1920.5610000000001,321.12
Na h-Eileanan Siar,3964.6758,47.89
Angus,8341.622,263.94
East Renfrewshire,3457.9613863636364,217.52
Shetland Islands,3856.1490635294117,33.07
Stirling,6704.411999999999,157.73
Perth and Kinross,12347.007954545454,275.35
Perth and Kinross,8341.622,308.1
Shetland Islands,6279.26934,38.02
Moray,8341.622,189.97
Orkney Islands,7543.758476470588,41.38
Perth and Kinross,2804.5156363636365,333.0
Stirling,3809.591386363636,158.41
