RegName,energy_cost,weight
Aberdeenshire,5459.30076,454.17
"Edinburgh, City of",1433.3264545454542,452.69
Orkney Islands,1352.2913636363635,48.43
Orkney Islands,2392.3114,40.24
Stirling,3357.105333333333,184.47
Highland,5451.2919999999995,427.01
Shetland Islands,5691.910636363636,36.07
Highland,3503.9631818181815,363.75
Dumfries and Galloway,3981.8113000000003,259.74
Na h-Eileanan Siar,5260.698636363635,46.4
Aberdeenshire,3273.0636000000004,465.63
Shetland Islands,3840.6829999999995,40.63
Argyll and Bute,2580.543454545454,179.76
Shetland Islands,3120.2898181818173,39.8
Highland,3840.8642,383.04
Glasgow City,1352.2913636363635,428.81
Aberdeen City,2450.6532727272725,492.7
Orkney Islands,4257.121454545454,44.66
"Edinburgh, City of",1352.2913636363635,385.64
"Edinburgh, City of",1505.0000909090907,333.0
South Ayrshire,4702.447,186.65
Shetland Islands,4140.8133,33.07
Dumfries and Galloway,4454.4336,259.74
Shetland Islands,1979.2034,38.82
Orkney Islands,4487.5714,47.24
Moray,740.21272,270.17
Argyll and Bute,4221.3544999999995,173.86
Na h-Eileanan Siar,3058.855272727272,52.83
Clackmannanshire,4557.339099999999,101.34
Na h-Eileanan Siar,3790.803999999999,50.85
Shetland Islands,7453.619363636362,36.07
Dumfries and Galloway,6281.0971818181815,290.63
Dumfries and Galloway,2285.7652,240.49
Perth and Kinross,2410.720818181818,283.12
Argyll and Bute,3169.1449090909086,168.65
West Lothian,2359.9641818181817,304.17
Argyll and Bute,2222.906636363636,186.74
Na h-Eileanan Siar,2688.8427,47.89
Na h-Eileanan Siar,2038.8955454545453,43.73
Dundee City,1352.2913636363635,325.71
Midlothian,2722.8931680000005,137.5
Aberdeenshire,1888.1116000000002,425.24
Shetland Islands,5921.5588181818175,39.8
Dumfries and Galloway,1396.2456000000002,220.45
Na h-Eileanan Siar,1641.9113636363634,55.48
South Ayrshire,1205.5918,183.09
Perth and Kinross,829.756,244.96
Shetland Islands,1366.6052,40.91
Renfrewshire,3045.2519090909086,405.59
Scottish Borders,2875.4100000000003,294.15
Aberdeenshire,768.6441666666665,467.89
Na h-Eileanan Siar,1962.248636363636,47.71
Dumfries and Galloway,2670.9399999999996,264.48
Dumfries and Galloway,4508.2268,259.74
Falkirk,3735.07409090909,324.87
Scottish Borders,3902.8304,295.24
Shetland Islands,3371.8789090909086,34.85
Glasgow City,1352.2913636363635,461.49
Na h-Eileanan Siar,5554.0772400000005,45.14
Shetland Islands,1940.6417,39.8
East Lothian,4334.954594117647,174.49
Glasgow City,1352.2913636363635,365.29
Argyll and Bute,4208.8514545454545,159.58
Dumfries and Galloway,5773.677090909091,277.59
Argyll and Bute,3336.860824705882,155.16
Dumfries and Galloway,1364.3709,277.59
South Ayrshire,2499.3620909090905,203.35
Argyll and Bute,1668.6792727272725,202.83
Na h-Eileanan Siar,3853.5695,43.9
Argyll and Bute,3378.0223636363635,156.54
Stirling,1352.2913636363635,134.94
Na h-Eileanan Siar,4702.447,47.89
Na h-Eileanan Siar,2589.0577999999996,43.9
Argyll and Bute,2425.1762166666663,158.99
"Edinburgh, City of",1799.885909090909,385.64
Midlothian,1468.28696,129.63
Highland,5554.0772400000005,385.89
Na h-Eileanan Siar,4531.4827000000005,47.89
Aberdeen City,1352.2913636363635,419.71
Highland,5255.697973333332,398.29
North Ayrshire,3046.2999999999997,324.45
Shetland Islands,4634.651363636363,35.71
Dumfries and Galloway,2570.6314,259.74
Dumfries and Galloway,5886.160818181817,297.97
Glasgow City,2471.2777272727267,474.61
Glasgow City,2067.2724545454544,409.01
Orkney Islands,2869.578363636363,43.74
Na h-Eileanan Siar,3057.8908,43.9
Argyll and Bute,3585.0081120000004,158.99
Perth and Kinross,3002.394,257.81
Aberdeenshire,3071.288454545454,475.81
Aberdeenshire,4702.447,508.18
Perth and Kinross,2920.042454545454,276.78
Shetland Islands,4609.346181818181,37.88
Orkney Islands,3543.1441,43.9
Glasgow City,1352.2913636363635,461.49
Glasgow City,6383.195545454545,428.81
West Lothian,1822.9969999999998,357.06
Argyll and Bute,3355.788909090909,190.68
Stirling,2479.761545454545,170.48
Dumfries and Galloway,2944.2810933333326,272.12
East Renfrewshire,3007.5135454545452,207.61
Moray,4920.90709090909,222.13
Glasgow City,1931.2388181818178,398.5
